# Wink sensor recording
# Sensor: ADS1291
# Start timestamp millis: 1779137786449
# Start time: 2026-05-18 22:56:26
# Signals: ADS1291_EXG
# ADS1291 enabled: true
# ADS1291 sample_rate_hz: 250
# ADS1291 gain: 6
# ADS1291 mode: 1
# ADS1291 mode_label: EEG
sample_index,ADS1291_EXG
0,533328.0
1,533461.0
2,532945.0
3,532462.0
4,532741.0
5,533315.0
6,533493.0
7,533051.0
8,532420.0
9,532622.0
10,533173.0
11,533504.0
12,533071.0
13,532570.0
14,532964.0
15,533713.0
16,533685.0
17,533220.0
18,532598.0
19,532750.0
20,533478.0
21,533797.0
22,533274.0
23,532711.0
24,532751.0
25,533422.0
26,533547.0
27,532993.0
28,532517.0
29,532763.0
30,533356.0
31,533606.0
32,533137.0
33,532385.0
34,532645.0
35,533484.0
36,533591.0
37,532979.0
38,532511.0
39,532693.0
40,533089.0
41,533303.0
42,532960.0
43,532594.0
44,532779.0
45,533356.0
46,533458.0
47,532992.0
48,532574.0
49,532666.0
50,533246.0
51,533604.0
52,533203.0
53,532415.0
54,532495.0
55,533274.0
56,533488.0
57,533041.0
58,532450.0
59,532739.0
60,533339.0
61,533479.0
62,533029.0
63,532474.0
64,532606.0
65,533120.0
66,533510.0
67,533034.0
68,532572.0
69,532705.0
70,533302.0
71,533373.0
72,532831.0
73,532341.0
74,532524.0
75,533230.0
76,533301.0
77,532715.0
78,532288.0
79,532614.0
80,533217.0
81,533303.0
82,532829.0
83,532328.0
84,532589.0
85,533239.0
86,533383.0
87,532973.0
88,532538.0
89,532691.0
90,533290.0
91,533460.0
92,533058.0
93,532523.0
94,532680.0
95,533203.0
96,533412.0
97,532814.0
98,532309.0
99,532429.0
100,533408.0
101,534172.0
102,533611.0
103,532229.0
104,532279.0
105,533089.0
106,533289.0
107,532729.0
108,531961.0
109,532148.0
110,532871.0
111,533282.0
112,532864.0
113,532279.0
114,532675.0
115,533436.0
116,533686.0
117,533031.0
118,532464.0
119,532658.0
120,533396.0
121,533674.0
122,533197.0
123,532486.0
124,532644.0
125,533237.0
126,533382.0
127,532982.0
128,532515.0
129,532928.0
130,533479.0
131,533467.0
132,533027.0
133,532773.0
134,532986.0
135,533458.0
136,533493.0
137,533227.0
138,532865.0
139,533100.0
140,533272.0
141,533353.0
142,533136.0
143,532789.0
144,532809.0
145,532921.0
146,532906.0
147,532987.0
148,533481.0
149,533495.0
150,532509.0
151,532188.0
152,533056.0
153,534012.0
154,533601.0
155,532210.0
156,531859.0
157,533059.0
158,534451.0
159,533748.0
160,531953.0
161,531685.0
162,533092.0
163,534522.0
164,533908.0
165,532121.0
166,531581.0
167,532809.0
168,534119.0
169,533338.0
170,531746.0
171,531491.0
172,532823.0
173,534059.0
174,533297.0
175,531816.0
176,531730.0
177,532683.0
178,533787.0
179,533304.0
180,532090.0
181,531949.0
182,532794.0
183,533609.0
184,533138.0
185,532069.0
186,531907.0
187,532775.0
188,533487.0
189,533121.0
190,532223.0
191,531966.0
192,532683.0
193,533466.0
194,533247.0
195,532344.0
196,531994.0
197,532358.0
198,532603.0
199,532561.0
200,532629.0
201,532296.0
202,532058.0
203,532416.0
204,532695.0
205,532557.0
206,532476.0
207,532513.0
208,532634.0
209,532743.0
210,532420.0
211,532237.0
212,532171.0
213,532713.0
214,533270.0
215,532566.0
216,530892.0
217,531596.0
218,534265.0
219,535199.0
220,531529.0
221,529782.0
222,532799.0
223,535806.0
224,533809.0
225,530181.0
226,529088.0
227,531292.0
228,533389.0
229,533770.0
230,533252.0
231,531468.0
232,531699.0
233,534598.0
234,534859.0
235,534156.0
236,532200.0
237,532609.0
238,533085.0
239,532997.0
240,531859.0
241,530083.0
242,529819.0
243,530453.0
244,530778.0
245,530179.0
246,527835.0
247,528729.0
248,530031.0
249,531124.0
250,529786.0
251,528294.0
252,529336.0
253,530004.0
254,530345.0
255,531328.0
256,530927.0
257,529894.0
258,529114.0
259,529680.0
260,531270.0
261,531291.0
262,530043.0
263,529345.0
264,530361.0
265,531891.0
266,532009.0
267,530967.0
268,530393.0
269,531397.0
270,533039.0
271,533074.0
272,532002.0
273,530976.0
274,532094.0
275,533803.0
276,533876.0
277,532719.0
278,531524.0
279,532218.0
280,533723.0
281,533546.0
282,532356.0
283,531312.0
284,532323.0
285,533813.0
286,533600.0
287,532240.0
288,531461.0
289,532673.0
290,534329.0
291,533990.0
292,532354.0
293,531603.0
294,532768.0
295,534198.0
296,533936.0
297,532398.0
298,531559.0
299,532698.0
300,534221.0
301,533823.0
302,532466.0
303,531911.0
304,533085.0
305,534514.0
306,533878.0
307,532462.0
308,531837.0
309,532859.0
310,533754.0
311,532586.0
312,531752.0
313,532094.0
314,533083.0
315,533561.0
316,532637.0
317,532076.0
318,532308.0
319,533234.0
320,533709.0
321,532709.0
322,532251.0
323,533008.0
324,533909.0
325,533769.0
326,532646.0
327,532258.0
328,533036.0
329,533411.0
330,532972.0
331,532048.0
332,532065.0
333,532762.0
334,533371.0
335,533047.0
336,532313.0
337,532106.0
338,532841.0
339,533324.0
340,532812.0
