# Wink event recording
# Start timestamp millis: 1779107876630
# Start time: 2026-05-18 14:37:56
# Selected signals: ADS1291_EXG
event_index,event_timestamp_ms,event_elapsed_ms,event_mcu_uptime_ms,event_source,event_name,button_pin
0,1779107878976,2346,-1,APP,P2_APP_PRESS,2
1,1779107880767,4137,-1,APP,P2_APP_PRESS,2
2,1779107882176,5546,-1,APP,P2_APP_PRESS,2
3,1779107883432,6802,-1,APP,P2_APP_PRESS,2
4,1779107883920,7290,-1,APP,P2_APP_PRESS,2
5,1779107885187,8557,-1,APP,P2_APP_PRESS,2
6,1779107886688,10058,-1,APP,P2_APP_PRESS,2
7,1779107888398,11768,-1,APP,P2_APP_PRESS,2
8,1779107889920,13290,-1,APP,P2_APP_PRESS,2
9,1779107891387,14757,-1,APP,P2_APP_PRESS,2
10,1779107892687,16057,-1,APP,P2_APP_PRESS,2
11,1779107894109,17479,-1,APP,P2_APP_PRESS,2
12,1779107895420,18790,-1,APP,P2_APP_PRESS,2
13,1779107896687,20057,-1,APP,P2_APP_PRESS,2
14,1779107897987,21357,-1,APP,P2_APP_PRESS,2
15,1779107898954,22324,-1,APP,P2_APP_PRESS,2
16,1779107900409,23779,-1,APP,P2_APP_PRESS,2
17,1779107901720,25090,-1,APP,P2_APP_PRESS,2
18,1779107903262,26632,-1,APP,P2_APP_PRESS,2
19,1779107904917,28287,-1,APP,P2_APP_PRESS,2
20,1779107906209,29579,-1,APP,P2_APP_PRESS,2
21,1779107907376,30746,-1,APP,P2_APP_PRESS,2
22,1779107908620,31990,-1,APP,P2_APP_PRESS,2
23,1779107909887,33257,-1,APP,P2_APP_PRESS,2
24,1779107911209,34579,-1,APP,P2_APP_PRESS,2
25,1779107912067,35437,-1,APP,P2_APP_PRESS,2
26,1779107915658,39028,-1,APP,P2_APP_PRESS,2
27,1779107916831,40201,-1,APP,P2_APP_PRESS,2
28,1779107918188,41558,-1,APP,P2_APP_PRESS,2
29,1779107919387,42757,-1,APP,P2_APP_PRESS,2
30,1779107920757,44127,-1,APP,P2_APP_PRESS,2
31,1779107922430,45800,-1,APP,P2_APP_PRESS,2
32,1779107923823,47193,-1,APP,P2_APP_PRESS,2
33,1779107925264,48634,-1,APP,P2_APP_PRESS,2
34,1779107926398,49768,-1,APP,P2_APP_PRESS,2
35,1779107927476,50846,-1,APP,P2_APP_PRESS,2
36,1779107928941,52311,-1,APP,P2_APP_PRESS,2
