# Wink sensor recording
# Sensor: ADS1291
# Start timestamp millis: 1779202081700
# Start time: 2026-05-19 16:48:01
# Signals: ADS1291_EXG
# ADS1291 enabled: true
# ADS1291 sample_rate_hz: 250
# ADS1291 gain: 6
# ADS1291 mode: 1
# ADS1291 mode_label: EEG
sample_index,ADS1291_EXG
0,699236.0
1,701091.0
2,703881.0
3,706529.0
4,706972.0
5,706209.0
6,706239.0
7,707851.0
8,709684.0
9,709438.0
10,708492.0
11,708393.0
12,710083.0
13,711900.0
14,711416.0
15,710182.0
16,709995.0
17,711261.0
18,713029.0
19,712543.0
20,711163.0
21,710797.0
22,712053.0
23,713631.0
24,713312.0
25,711963.0
26,711448.0
27,712658.0
28,714144.0
29,713780.0
30,712368.0
31,711891.0
32,713231.0
33,714695.0
34,714404.0
35,712964.0
36,712636.0
37,713949.0
38,715387.0
39,714923.0
40,713458.0
41,712983.0
42,714187.0
43,715612.0
44,715143.0
45,713715.0
46,713247.0
47,714623.0
48,716062.0
49,715497.0
50,714085.0
51,713433.0
52,714619.0
53,716274.0
54,715854.0
55,714366.0
56,714109.0
57,715433.0
58,716733.0
59,715929.0
60,714638.0
61,714165.0
62,715196.0
63,716574.0
64,716157.0
65,714883.0
66,714581.0
67,715864.0
68,716963.0
69,716391.0
70,715056.0
71,714449.0
72,715825.0
73,717189.0
74,716718.0
75,715358.0
76,714951.0
77,716328.0
78,717424.0
79,716863.0
80,715369.0
81,714869.0
82,715991.0
83,717426.0
84,717036.0
85,715558.0
86,714968.0
87,716306.0
88,717829.0
89,717149.0
90,715631.0
91,715197.0
92,716413.0
93,717954.0
94,717409.0
95,715695.0
96,715243.0
97,716356.0
98,717644.0
99,717166.0
100,715920.0
101,715487.0
102,716519.0
103,718029.0
104,717463.0
105,715873.0
106,715421.0
107,716699.0
108,718287.0
109,717731.0
110,716091.0
111,715576.0
112,716678.0
113,718068.0
114,717431.0
115,716034.0
116,715602.0
117,716729.0
118,718080.0
119,717501.0
120,716178.0
121,715521.0
122,716829.0
123,718316.0
124,717696.0
125,716293.0
126,715829.0
127,717007.0
128,718466.0
129,717779.0
130,716212.0
131,715792.0
132,717154.0
133,718688.0
134,717976.0
135,716352.0
136,715855.0
137,717053.0
138,718469.0
139,717768.0
140,716559.0
141,715804.0
142,716966.0
143,718520.0
144,718158.0
145,716610.0
146,715753.0
147,717116.0
148,718563.0
149,718041.0
150,716414.0
151,715928.0
152,717170.0
153,718374.0
154,717867.0
155,716509.0
156,715924.0
157,717122.0
158,718348.0
159,717824.0
160,716761.0
161,716221.0
162,717358.0
163,718756.0
164,718135.0
165,716871.0
166,716538.0
167,717635.0
168,718994.0
169,718380.0
170,716846.0
171,716247.0
172,717513.0
173,718851.0
174,718176.0
175,716751.0
176,716494.0
177,717610.0
178,718961.0
179,718461.0
180,716939.0
181,716359.0
182,717660.0
183,719069.0
184,718488.0
185,716986.0
186,716503.0
187,717691.0
188,719210.0
189,718742.0
190,717418.0
191,716941.0
192,717871.0
193,719062.0
194,718671.0
195,717308.0
196,716634.0
197,717974.0
198,719272.0
199,718514.0
200,717156.0
201,716506.0
202,717753.0
203,719299.0
204,718536.0
205,717026.0
206,716541.0
207,717793.0
208,719202.0
209,718651.0
210,717005.0
211,716551.0
212,717623.0
213,719073.0
214,718704.0
215,717172.0
216,716505.0
217,717763.0
218,719276.0
219,718846.0
220,717437.0
221,716885.0
222,718004.0
223,719429.0
224,718826.0
225,717531.0
226,716959.0
227,718291.0
228,719592.0
229,718931.0
230,717558.0
231,716919.0
232,717906.0
233,719381.0
234,718915.0
235,717489.0
236,716888.0
237,718278.0
238,719788.0
239,719149.0
240,717431.0
241,716894.0
242,717993.0
243,719274.0
244,718780.0
245,717293.0
246,716666.0
247,717748.0
248,719291.0
249,718867.0
250,717466.0
251,716876.0
252,718275.0
253,719708.0
254,719069.0
255,717736.0
256,717228.0
257,718344.0
258,719713.0
259,719218.0
260,717585.0
261,716894.0
262,718363.0
263,719715.0
264,719242.0
265,717628.0
266,717041.0
267,718352.0
268,719615.0
269,719093.0
270,717804.0
271,717281.0
272,718416.0
273,719608.0
274,719184.0
275,717840.0
276,717277.0
277,718359.0
278,719734.0
279,719310.0
280,717936.0
281,717434.0
282,718420.0
283,719603.0
284,719243.0
285,717954.0
286,717268.0
287,718436.0
288,720040.0
289,719633.0
