# Wink sensor recording
# Sensor: ADS1291
# Start timestamp millis: 1779205465283
# Start time: 2026-05-19 17:44:25
# Signals: ADS1291_EXG
# ADS1291 enabled: true
# ADS1291 sample_rate_hz: 250
# ADS1291 gain: 6
# ADS1291 mode: 1
# ADS1291 mode_label: EEG
sample_index,ADS1291_EXG
0,141427.0
1,141903.0
2,141838.0
3,141609.0
4,141959.0
5,142183.0
6,142243.0
7,142492.0
8,142543.0
9,142656.0
10,142739.0
11,142819.0
12,142804.0
13,142572.0
14,142649.0
15,142837.0
16,143181.0
17,143014.0
18,142851.0
19,143115.0
20,143441.0
21,143246.0
22,142834.0
23,142693.0
24,142981.0
25,143442.0
26,143400.0
27,143114.0
28,143078.0
29,143163.0
30,143142.0
31,143128.0
32,143204.0
33,143153.0
34,143153.0
35,143289.0
36,143488.0
37,143229.0
38,142920.0
39,142988.0
40,143132.0
41,143511.0
42,143341.0
43,143113.0
44,143381.0
45,143491.0
46,143403.0
47,143315.0
48,143143.0
49,143245.0
50,143448.0
51,143491.0
52,143374.0
53,143046.0
54,143171.0
55,143469.0
56,143392.0
57,143224.0
58,143197.0
59,143431.0
60,143570.0
61,143502.0
62,143358.0
63,143278.0
64,143139.0
65,143366.0
66,143644.0
67,143547.0
68,143295.0
69,143254.0
70,143539.0
71,143649.0
72,143263.0
73,143100.0
74,143338.0
75,143548.0
76,143580.0
77,143403.0
78,143321.0
79,143413.0
80,143559.0
81,143789.0
82,143560.0
83,143205.0
84,143330.0
85,143448.0
86,143493.0
87,143398.0
88,143104.0
89,143033.0
90,143214.0
91,143313.0
92,143131.0
93,143068.0
94,143080.0
95,143406.0
96,143444.0
97,143099.0
98,142996.0
99,142991.0
100,143211.0
101,143429.0
102,143339.0
103,143204.0
104,143126.0
105,143172.0
106,143296.0
107,143256.0
108,143166.0
109,143255.0
110,143568.0
111,143636.0
112,143242.0
113,143039.0
114,143193.0
115,143588.0
116,143688.0
117,143264.0
118,143057.0
119,143368.0
120,143452.0
121,143459.0
122,143378.0
123,143086.0
124,143154.0
125,143281.0
126,143374.0
127,143304.0
128,142921.0
129,143068.0
130,143403.0
131,143406.0
132,143119.0
133,142869.0
134,142885.0
135,143217.0
136,143142.0
137,142927.0
138,142763.0
139,142763.0
140,142976.0
141,142893.0
142,142616.0
143,142488.0
144,142655.0
145,142764.0
146,142858.0
147,142613.0
148,142399.0
149,142422.0
150,142634.0
151,142756.0
152,142463.0
153,142279.0
154,142234.0
155,142383.0
156,142376.0
157,142203.0
158,142109.0
159,142226.0
160,142378.0
161,142169.0
162,141846.0
163,141581.0
164,141591.0
165,141797.0
166,141918.0
167,141573.0
168,141288.0
169,141287.0
170,141299.0
171,141124.0
172,140723.0
173,140252.0
174,140214.0
175,140583.0
176,140589.0
177,140151.0
178,139690.0
179,139897.0
180,140212.0
181,140172.0
182,139814.0
183,139459.0
184,139751.0
185,140017.0
186,139924.0
187,139620.0
188,139135.0
189,139382.0
190,139729.0
191,139634.0
192,139139.0
193,138721.0
194,138750.0
195,139164.0
196,139231.0
197,138729.0
198,138401.0
199,138304.0
200,138711.0
201,138683.0
202,138107.0
203,137861.0
204,137779.0
205,137755.0
206,137638.0
207,137484.0
208,137234.0
209,137187.0
210,137254.0
211,137191.0
212,136881.0
213,136644.0
214,136766.0
215,136797.0
216,136749.0
217,136568.0
218,136366.0
219,136346.0
220,136426.0
221,136415.0
