# Wink sensor recording
# Sensor: ADS1291
# Start timestamp millis: 1779202957301
# Start time: 2026-05-19 17:02:37
# Signals: ADS1291_EXG
# ADS1291 enabled: true
# ADS1291 sample_rate_hz: 250
# ADS1291 gain: 6
# ADS1291 mode: 1
# ADS1291 mode_label: EEG
sample_index,ADS1291_EXG
0,580771.0
1,582427.0
2,583277.0
3,584200.0
4,584873.0
5,585595.0
6,585673.0
7,585959.0
8,587857.0
9,588023.0
10,588328.0
11,588466.0
12,588779.0
13,589061.0
14,588669.0
15,589231.0
16,589636.0
17,589894.0
18,590041.0
19,589911.0
20,589467.0
21,589796.0
22,590456.0
23,590208.0
24,590494.0
25,591046.0
26,591232.0
27,591176.0
28,591260.0
29,591522.0
30,591801.0
31,591489.0
32,591191.0
33,592047.0
34,592116.0
35,591968.0
36,592014.0
37,592129.0
38,592421.0
39,592418.0
40,592292.0
41,591704.0
42,591920.0
43,592631.0
44,592822.0
45,592948.0
46,592691.0
47,592503.0
48,592065.0
49,592205.0
50,592720.0
51,592929.0
52,592641.0
53,592757.0
54,592948.0
55,592915.0
56,592577.0
57,592771.0
58,592753.0
59,592898.0
60,592481.0
61,592800.0
62,593818.0
63,593519.0
64,593188.0
65,593276.0
66,593006.0
67,592614.0
68,592261.0
69,592254.0
70,591944.0
71,591743.0
72,592178.0
73,592389.0
74,592300.0
75,592241.0
76,591996.0
77,591806.0
78,592099.0
79,592116.0
80,592276.0
81,592795.0
82,592951.0
83,592361.0
84,592095.0
85,592288.0
86,592309.0
87,592439.0
88,592484.0
89,592810.0
90,592690.0
91,592422.0
92,592179.0
93,592374.0
94,592516.0
95,592130.0
96,592141.0
97,592788.0
98,592663.0
99,592101.0
100,592014.0
101,592946.0
102,593077.0
103,593089.0
104,592759.0
105,592768.0
106,593027.0
107,593776.0
108,593834.0
109,593803.0
110,594138.0
111,594566.0
112,594467.0
113,593946.0
114,594627.0
115,594764.0
116,594467.0
117,593726.0
118,594135.0
119,594713.0
120,594644.0
121,594056.0
122,593996.0
123,593956.0
124,594429.0
125,594946.0
126,595041.0
127,594761.0
128,594072.0
129,594336.0
130,594006.0
131,593051.0
132,592408.0
133,592209.0
134,591860.0
135,591556.0
136,591416.0
137,591068.0
138,590336.0
139,589515.0
140,589658.0
141,589691.0
142,589461.0
143,589223.0
144,589001.0
145,588664.0
146,588164.0
147,587991.0
148,587804.0
149,588413.0
150,588421.0
151,588293.0
152,588369.0
153,588143.0
154,588096.0
155,588289.0
156,588553.0
157,588111.0
158,587458.0
159,587833.0
160,588899.0
161,588564.0
162,588099.0
163,588317.0
164,588173.0
165,588074.0
166,588489.0
167,588227.0
168,587825.0
169,588714.0
170,588816.0
171,588736.0
172,588857.0
173,589201.0
174,589201.0
175,588546.0
176,588460.0
177,589461.0
178,589624.0
179,589213.0
180,589135.0
181,589449.0
182,589450.0
183,589451.0
184,589173.0
185,589083.0
186,589304.0
187,589802.0
188,589519.0
189,588932.0
190,588824.0
191,589083.0
192,589344.0
193,589355.0
194,589388.0
195,589496.0
196,589506.0
197,589777.0
198,589624.0
199,589631.0
200,589066.0
201,588979.0
202,590644.0
203,590389.0
204,590064.0
205,590441.0
206,590804.0
207,590875.0
208,590053.0
209,589274.0
210,590248.0
211,589743.0
212,590340.0
213,591056.0
214,591040.0
215,590957.0
216,590874.0
217,590702.0
218,590209.0
219,590284.0
220,590212.0
221,590474.0
222,590737.0
223,590763.0
224,590677.0
225,590221.0
226,589954.0
227,590313.0
228,590173.0
229,589334.0
230,590117.0
231,590374.0
232,589561.0
233,589820.0
234,589702.0
235,589163.0
236,589182.0
237,589198.0
238,589004.0
239,588319.0
240,588551.0
241,588698.0
242,588723.0
243,588775.0
244,588793.0
245,588688.0
246,588711.0
247,588649.0
248,588333.0
249,588633.0
250,588733.0
251,589321.0
252,589816.0
253,589609.0
254,589646.0
255,589654.0
256,589678.0
257,589556.0
258,589367.0
259,589132.0
260,589590.0
261,589614.0
262,589616.0
263,589791.0
264,590116.0
265,590221.0
266,590187.0
267,590317.0
268,590096.0
269,590068.0
270,589844.0
271,589371.0
272,588538.0
273,589460.0
274,590416.0
275,590291.0
276,590031.0
277,589831.0
278,590175.0
279,590089.0
280,589157.0
281,589872.0
282,590394.0
283,590108.0
284,589728.0
285,589457.0
286,589143.0
287,588598.0
288,589489.0
289,589370.0
290,588836.0
291,589181.0
292,589578.0
293,589545.0
294,589613.0
295,589514.0
296,589827.0
297,589772.0
298,589919.0
299,590566.0
300,590495.0
301,590253.0
302,590216.0
303,589939.0
304,589429.0
305,589453.0
306,590596.0
307,590506.0
308,590468.0
309,589967.0
310,589823.0
311,590394.0
312,590218.0
313,590415.0
314,590148.0
315,589224.0
316,590006.0
317,590706.0
318,590621.0
319,590726.0
320,590151.0
321,589433.0
322,589984.0
323,590219.0
324,589981.0
325,590080.0
326,590153.0
327,589979.0
328,589949.0
329,589664.0
330,589354.0
331,590075.0
332,590550.0
333,590373.0
334,590242.0
335,590240.0
336,589973.0
337,589848.0
338,589736.0
339,588571.0
340,589337.0
341,590093.0
342,590086.0
343,589708.0
344,589113.0
345,588933.0
346,588776.0
347,588700.0
348,588687.0
349,589210.0
350,588494.0
351,587393.0
352,586855.0
353,586456.0
354,586268.0
355,496191.0
356,105369.0
357,-1566.0
358,-1570.0
359,-1561.0
360,-1562.0
361,-1566.0
362,-1564.0
363,-1564.0
364,-1559.0
365,-1571.0
366,-1581.0
367,-1562.0
368,-1547.0
369,-1561.0
370,-1567.0
371,-1562.0
372,-1547.0
373,-1560.0
374,-1558.0
375,-1561.0
376,-1545.0
377,-1549.0
378,-1550.0
379,-1559.0
380,-1547.0
381,-1557.0
382,-1557.0
383,-1556.0
384,-1569.0
385,-1566.0
386,-1584.0
387,-1592.0
388,-1579.0
389,-1582.0
390,-1562.0
391,-1545.0
392,-1566.0
393,-1574.0
394,-1574.0
395,-1560.0
396,-1547.0
397,-1559.0
398,1221.0
399,277909.0
400,708658.0
401,682513.0
402,653994.0
403,639077.0
404,629761.0
405,622334.0
406,617023.0
407,612555.0
408,609117.0
409,605986.0
410,603116.0
411,600976.0
412,599662.0
413,598329.0
414,597115.0
415,595721.0
416,594806.0
417,593761.0
418,592797.0
419,592459.0
420,591054.0
421,591858.0
422,591973.0
423,591594.0
424,591169.0
425,591177.0
426,591009.0
427,591094.0
428,591472.0
429,590833.0
430,590868.0
431,591252.0
432,590896.0
433,590421.0
434,590521.0
435,591019.0
436,590946.0
437,590886.0
438,590709.0
439,590441.0
440,590188.0
441,589357.0
442,588861.0
443,589764.0
444,589844.0
445,589507.0
446,589143.0
447,589493.0
448,589614.0
449,589149.0
450,589027.0
451,588493.0
452,588881.0
453,589474.0
454,589322.0
455,589150.0
456,588596.0
457,589497.0
458,589631.0
459,588855.0
460,589146.0
461,589534.0
462,589814.0
463,589692.0
464,589489.0
465,588908.0
466,588058.0
467,588987.0
468,589323.0
469,589248.0
470,589363.0
471,589381.0
472,588749.0
473,588615.0
474,589294.0
475,589638.0
476,589253.0
477,589011.0
478,589290.0
479,589132.0
480,589276.0
481,588973.0
482,588926.0
483,588765.0
484,589159.0
485,589277.0
486,589294.0
487,589258.0
488,589010.0
489,588893.0
490,589081.0
491,589282.0
492,589294.0
493,589159.0
494,588960.0
495,589131.0
496,589030.0
497,588301.0
498,588754.0
499,589619.0
500,589518.0
501,589254.0
502,589340.0
503,588985.0
504,588624.0
505,588438.0
