event_timestamp_ms,event_elapsed_ms,blink
4286.0,4286.0,1
11499.0,11499.0,1
21882.0,21882.0,1
25494.0,25494.0,1
27294.0,27294.0,1
29490.0,29490.0,1
32380.70403225805,32380.70403225805,1
38312.0,38312.0,1
46307.0,46307.0,1
53083.0,53083.0,1
62153.0,62153.0,1
66295.0,66295.0,1
69902.0,69902.0,1
75705.0,75705.0,1
81115.0,81115.0,1
86303.0,86303.0,1
93306.0,93306.0,1
100080.0,100080.0,1
105885.0,105885.0,1
112121.0,112121.0,1
113295.0,113295.0,1
115192.0,115192.0,1
122120.0,122120.0,1
126502.0,126502.0,1
134937.0,134937.0,1
136985.0,136985.0,1
142151.0,142151.0,1
148295.0,148295.0,1
152098.0,152098.0,1
156879.0,156879.0,1
163310.0,163310.0,1
