EEG_CH1_RAW	EEG_CH1_BP_0p5_20
-5661	1.373987
-6515	3.6722827
-6731	6.70487
-5735	9.903078
-5611	12.9462385
-6315	15.62298
-6944	17.718843
-6656	18.977898
-5834	19.32131
-5634	19.091951
-6272	18.947437
-6974	19.55741
-6643	21.277994
-5746	24.234642
-5514	28.469685
-6140	33.83324
-6836	39.822277
-6561	45.527092
-5699	50.009212
-5456	52.762524
-6058	53.83069
-6761	53.70268
-6490	53.090706
-5641	52.965866
-5425	54.54387
-6040	58.905636
-6727	66.52031
-6461	76.900795
-5627	88.80009
-5397	100.6566
-6021	110.909485
-6703	118.23692
-6469	121.81739
-5643	121.7757
-5463	119.48916
-6072	117.267525
-6758	117.69256
-6466	122.80518
-5624	133.69614
-5420	150.31326
-6051	171.27304
-6714	193.90822
-6457	214.71912
-5624	230.37799
-5409	238.84332
-6056	239.96693
-6750	235.54283
-6492	228.90028
-5616	224.34367
-5399	226.34723
-6026	238.30421
-6699	261.35483
-6446	293.7406
-5625	331.1529
-5418	367.82794
-6032	397.84543
-6733	416.50244
-6441	421.4998
-5621	413.97238
-5435	398.70685
-6056	383.15683
-6749	375.58875
-6482	382.8533
-5669	408.6527
-5435	452.46906
-6039	509.24442
-6661	570.07574
-6376	624.0464
-5591	661.0389
-5374	674.6149
-5972	663.98883
-6649	634.61786
-6410	597.26874
-5584	565.9311
-5352	554.74164
-5928	574.27246
-6581	628.2569
-6325	711.7474
-5538	811.603
-5346	909.1322
-5937	984.1643
-6573	1019.8741
-6301	1007.369
-5512	949.16156
-5321	860.2528
-5916	765.9981
-6548	697.0563
-6311	682.4027
-5555	742.01013
-5325	880.54156
-5907	1083.299
-6555	1315.6339
-6299	1526.4806
-5516	1655.9369
-5294	1645.4119
-5881	1448.2528
-6532	1038.9347
-6276	419.12866
-5487	-380.37738
-5256	-1302.7002
-5826	-2272.707
-6504	-3208.2104
-6303	-4032.415
-5513	-4685.0786
-5273	-5130.6367
-5891	-5362.207
-6553	-5400.8276
-6226	-5290.0522
-5456	-5086.7695
-5325	-4850.5
-5888	-4633.442
-6549	-4472.8403
-6339	-4386.9224
-5573	-4374.524
-5374	-4418.308
-5956	-4490.951
-6577	-4562.63
-6326	-4608.0513
-5571	-4611.3755
-5368	-4568.4443
-5939	-4486.3955
-6554	-4380.945
-6303	-4272.0327
-5549	-4178.7344
-5392	-4114.8076
-5966	-4086.1233
-6647	-4090.2097
-6452	-4117.782
-5726	-4155.3955
-5453	-4188.745
-5989	-4206.0225
-6581	-4200.521
-6328	-4171.7993
-5579	-4125.0347
-5338	-4069.0679
-5908	-4013.9841
-6540	-3968.7537
-6301	-3939.3657
-5552	-3927.5789
-5325	-3930.717
-5846	-3942.753
-6513	-3956.1592
-6287	-3963.9915
-5532	-3961.3604
-5362	-3946.184
-5911	-3919.4778
-6526	-3884.9512
-6327	-3848.0178
-5607	-3814.2837
-5417	-3788.0518
-5923	-3771.5125
-6576	-3764.5903
-6394	-3765.386
-5658	-3770.7224
-5484	-3776.829
-6004	-3780.315
-6486	-3779.0076
-6289	-3772.3286
-5736	-3761.036
-5542	-3746.696
-6042	-3731.074
-6634	-3715.7473
-6448	-3701.8606
-5719	-3689.8115
-5477	-3679.1067
-6027	-3668.6807
-6633	-3657.4556
-6421	-3644.838
-5706	-3630.7654
-5497	-3615.5457
-5992	-3599.7876
-6630	-3584.29
-6416	-3569.9795
-5701	-3557.496
-5511	-3546.897
-6022	-3537.7168
-6624	-3529.3079
-6423	-3521.1963
-5701	-3513.1494
-5506	-3505.0864
-6021	-3497.1492
-6602	-3489.7886
-6429	-3483.7014
-5744	-3479.5015
-5569	-3477.2952
-6093	-3476.6543
-6717	-3476.7893
-6481	-3476.8767
-5764	-3476.0784
-5582	-3473.5789
-6101	-3468.8237
-6687	-3461.7969
-6484	-3453.1326
-5798	-3443.8337
-5582	-3434.8696
-6071	-3426.9778
-6655	-3420.6257
-6461	-3416.0806
-5805	-3413.2383
-5590	-3411.5576
-6087	-3410.2705
-6734	-3409.4011
-6557	-3407.7114
-5827	-3405.6248
-5611	-3403.844
-5856	-3403.6213
-6231	-3406.036
-6400	-3411.6936
-5836	-3420.7246
-5672	-3432.5896
-6200	-3446.1792
-6810	-3459.8884
-6634	-3471.9912
-5942	-3480.9062
-5721	-3485.6313
-6185	-3486.0286
-6768	-3482.763
-6600	-3477.274
-5939	-3471.4456
-5731	-3467.332
-6201	-3466.7769
-6756	-3470.9685
-6602	-3480.1736
-5970	-3493.6213
-5760	-3509.6868
-6178	-3526.2268
-6744	-3540.8142
-6587	-3551.1895
-5953	-3555.5823
-5742	-3553.0798
-6224	-3543.753
-6769	-3528.5513
-6578	-3509.1145
-5889	-3487.4521
-5697	-3465.6924
-6178	-3445.8625
-6765	-3429.5303
-6609	-3417.7207
-5938	-3410.822
-5752	-3408.6987
-6241	-3410.8574
-6783	-3416.484
-6623	-3424.5874
-5968	-3434.1084
-5751	-3444.0696
-6239	-3453.7078
-6790	-3462.4465
-6664	-3469.9255
-5986	-3476.011
-5781	-3480.837
-6244	-3484.8699
-6787	-3488.6914
-6645	-3492.9302
-6019	-3498.1047
