EEG_CH1_RAW	EEG_CH1_BP_0p5_20
-22143	5.3743496
-49457	20.182785
-63983	44.2205
-47569	70.03015
-20338	89.785446
-21954	103.60916
-49173	115.72219
-63807	126.2131
-47658	130.59865
-21391	126.400986
-23743	120.18118
-50650	122.17935
-64770	136.83647
-48161	161.01292
-22801	190.12823
-25962	224.80502
-51595	266.2336
-65622	309.58487
-48803	343.9299
-24152	361.06873
-28002	363.39697
-51799	359.07236
-65265	355.4205
-48328	355.64343
-21316	363.5866
-23977	389.14105
-51377	441.23312
-64807	517.8329
-47896	605.7234
-20867	688.2815
-23840	756.0067
-51281	804.71515
-64480	829.93915
-47529	828.7631
-38578	810.66583
-17471	786.8546
-32819	781.24615
-58205	814.4857
-59182	893.79315
-38595	1013.6215
-18499	1159.6122
-33187	1316.8485
-58271	1465.1086
-59081	1579.0736
-38419	1638.5471
-17567	1637.992
-32954	1595.4509
-58189	1540.8477
-58901	1504.9781
-38252	1515.5309
-17578	1593.1335
-33042	1751.1652
-58199	1982.2677
-58739	2253.9795
-38069	2518.9045
-17584	2729.3167
-33114	2855.455
-58166	2885.7605
-58595	2827.3286
-37947	2709.8743
-17595	2583.7058
-33265	2514.3784
-58243	2557.7808
-58442	2740.437
-37731	3053.9773
-17407	3457.5725
-33352	3891.346
-58319	4280.6523
-58351	4549.849
-37603	4645.9795
-17430	4558.2295
-33482	4330.693
-58414	4046.9429
-58299	3808.2695
-37507	3713.6023
-17381	3837.2927
-33589	4213.1694
-58506	4811.8267
-58277	5537.1055
-37372	6247.569
-17382	6791.1304
-33712	7048.4053
-58581	6957.446
-58221	6532.8184
-37247	5876.5625
-17329	5168.1943
-33844	4636.3696
-58734	4499.0386
-58188	4903.5913
-37096	5883.495
-17281	7333.4404
-33935	9012.987
-58853	10563.132
-58139	11554.793
-36859	11565.323
-17325	10260.676
-34167	7469.6157
-59041	3217.838
-58143	-2266.186
-36774	-8572.407
-17269	-15163.266
-34252	-21449.152
-59109	-26888.957
-58054	-31077.5
-36596	-33800.15
-17236	-35053.582
-34324	-35027.375
-59259	-34068.062
-58036	-32613.79
-36471	-31108.795
-17320	-29923.023
-34590	-29289.299
-59398	-29285.822
-57932	-29845.469
-36309	-30784.176
-17224	-31849.236
-34651	-32774.004
-59415	-33344.3
-57801	-33443.613
-36172	-33065.69
-17238	-32302.566
-34772	-31310.22
-59524	-30277.82
-57776	-29388.658
-36044	-28777.795
-17346	-28504.021
-34976	-28538.63
-59542	-28788.27
-57642	-29126.238
-35907	-29420.486
-17364	-29560.416
-35106	-29474.209
-59585	-29150.107
-57502	-28638.115
-35826	-28030.041
-17468	-27431.82
-35267	-26932.754
-59599	-26595.088
-57358	-26446.508
-35686	-26473.326
-17402	-26623.842
-35346	-26817.625
-59546	-26974.605
-57217	-27037.191
-35574	-26977.705
-17497	-26798.404
-35469	-26522.477
-59606	-26194.922
-57124	-25874.246
-35446	-25614.238
-17450	-25448.7
-35584	-25380.059
-59636	-25390.105
-56997	-25450.328
-35209	-25526.076
-17321	-25581.78
-35637	-25583.816
-59706	-25516.277
-56977	-25386.951
-35072	-25219.709
-17253	-25043.87
-35773	-24881.352
-59816	-24750.662
-56824	-24666.98
-34852	-24635.527
-17233	-24648.008
-35889	-24680.518
-59926	-24709.008
-56874	-24718.947
-34800	-24704.127
-17142	-24663.848
-35947	-24596.977
-60073	-24510.52
-56853	-24421.186
-34589	-24346.916
-17084	-24299.127
-35999	-24275.36
-60227	-24269.555
-56784	-24278.041
-34269	-24296.266
-16895	-24316.488
-36036	-24324.547
-60317	-24311.947
-56717	-24281.494
-34012	-24241.717
-16721	-24200.895
-36089	-24159.936
-60533	-24121.525
-56746	-24093.518
-33841	-24082.879
-16689	-24090.533
-36226	-24106.49
-60697	-24121.514
-56751	-24133.184
-33622	-24141.754
-16601	-24146.146
-36321	-24139.127
-60916	-24118.125
-56774	-24089.672
-33464	-24063.246
-16644	-24045.059
-36436	-24034.848
-61079	-24028.94
-56750	-24027.549
-33282	-24031.555
-16552	-24043.385
-36589	-24061.207
-61281	-24080.275
-56802	-24095.758
-33214	-24105.309
-16725	-24110.525
-36789	-24111.12
-61347	-24105.854
-56684	-24094.795
-32981	-24080.578
-16638	-24069.098
-36913	-24062.414
-61466	-24059.635
-56669	-24059.816
-32891	-24062.867
-16761	-24071.04
-37082	-24082.64
-61557	-24093.303
-56577	-24100.707
-32754	-24104.363
-16887	-24107.172
-37264	-24109.762
-61691	-24110.836
-56546	-24109.463
-32634	-24106.95
-16876	-24106.89
-37365	-24109.62
-61701	-24112.66
-56517	-24113.303
-32535	-24111.125
-16898	-24110.586
-37501	-24104.86
-61798	-24096.617
-56417	-24088.594
-32438	-24080.867
-16939	-24074.035
-37659	-24065.768
-61897	-24059.19
-56421	-24056.906
-32085	-24057.967
-16406	-24060.951
-37527	-24061.01
-61988	-24059.357
-56297	-24057.127
-31982	-24052.818
-16824	-24045.734
-37772	-24032.879
-62097	-24017.848
-56260	-24004.268
-31845	-23992.697
-16769	-23983.648
-37934	-23974.23
