event_index,event_timestamp_ms,event_elapsed_ms,event_mcu_uptime_ms,event_source,event_name,button_pin
0,1779122260861,108875.07177419354,12155805,PHYSICAL,P3_PHYSICAL_PRESS,3
1,1779122261491,66760.11102150536,12156398,PHYSICAL,P3_PHYSICAL_PRESS,3
2,1779122262130,47175.1817204301,12156990,PHYSICAL,P3_PHYSICAL_PRESS,3
3,1779122268948,77951.49919354836,12163978,PHYSICAL,P3_PHYSICAL_PRESS,3
4,1779122276655,105635.45940860214,12171407,PHYSICAL,P3_PHYSICAL_PRESS,3
5,1779122288839,52329.11048387096,12183702,PHYSICAL,P3_PHYSICAL_PRESS,3
6,1779122291618,38781.64059139784,12186403,PHYSICAL,P3_PHYSICAL_PRESS,3
7,1779122302056,42299.0,12196803,PHYSICAL,P3_PHYSICAL_PRESS,3
8,1779122309124,45997.14086021505,12204145,PHYSICAL,P3_PHYSICAL_PRESS,3
9,1779122317704,54685.19220430107,12212616,PHYSICAL,P3_PHYSICAL_PRESS,3
10,1779122323550,60280.88629032256,12218454,PHYSICAL,P3_PHYSICAL_PRESS,3
11,1779122329893,70136.0,12224718,PHYSICAL,P3_PHYSICAL_PRESS,3
12,1779122341641,82516.4075268817,12236185,PHYSICAL,P3_PHYSICAL_PRESS,3
13,1779122347049,88995.63225806452,12241729,PHYSICAL,P3_PHYSICAL_PRESS,3
14,1779122355145,95388.0,12249845,PHYSICAL,P3_PHYSICAL_PRESS,3
15,1779122372209,112452.0,12266588,PHYSICAL,P3_PHYSICAL_PRESS,3
16,1779122372644,158352.78790322578,12267127,PHYSICAL,P3_PHYSICAL_PRESS,3
17,1779122377473,117716.0,12271931,PHYSICAL,P3_PHYSICAL_PRESS,3
18,1779122385221,125464.0,12279714,PHYSICAL,P3_PHYSICAL_PRESS,3
19,1779122392102,132345.0,12286377,PHYSICAL,P3_PHYSICAL_PRESS,3
20,1779122405062,148633.95080645158,12299081,PHYSICAL,P3_PHYSICAL_PRESS,3
21,1779122405650,141712.96075268817,12299641,PHYSICAL,P3_PHYSICAL_PRESS,3
22,1779122413111,152020.81827956988,12306999,PHYSICAL,P3_PHYSICAL_PRESS,3
23,1779122415841,157174.74704301075,12309763,PHYSICAL,P3_PHYSICAL_PRESS,3
24,1779122421347,160856.12473118276,12315140,PHYSICAL,P3_PHYSICAL_PRESS,3
25,1779122425444,173961.82930107525,12319062,PHYSICAL,P3_PHYSICAL_PRESS,3
26,1779122438509,177054.18655913975,12332272,PHYSICAL,P3_PHYSICAL_PRESS,3
27,1779122451424,187067.53387096772,12345035,PHYSICAL,P3_PHYSICAL_PRESS,3
28,1779122457620,192957.73817204297,12351303,PHYSICAL,P3_PHYSICAL_PRESS,3
