EEG_CH1_RAW	EEG_CH1_BP_0p5_20
-502063	121.85622
-311486	261.0496
-269914	416.8942
-363871	596.9901
-499085	801.9519
-498254	995.9617
-311597	1116.4161
-273000	1164.9541
-363703	1172.3982
-501026	1182.961
-501568	1213.6108
-310966	1251.5758
-268423	1334.4744
-363326	1505.9463
-501236	1790.2291
-503253	2154.9463
-312484	2516.332
-268656	2835.3542
-363176	3093.0625
-500939	3283.2222
-503814	3387.8848
-313138	3384.4353
-268185	3331.844
-362603	3325.2776
-500758	3459.8376
-505356	3777.3958
-315188	4251.2896
-268245	4865.1787
-490362	5610.7656
-475170	6365.1367
-267781	6976.7744
-292091	7389.607
-415631	7592.408
-519387	7621.361
-480118	7541.5366
-276217	7437.2056
-288769	7478.2144
-405289	7817.2515
-518716	8541.505
-481980	9620.873
-278242	10911.04
-288397	12265.235
-404720	13507.367
-518469	14469.186
-480654	15014.238
-276744	15085.877
-287499	14815.784
-403798	14442.73
-518112	14254.116
-480281	14492.929
-276453	15297.902
-286768	16741.777
-402656	18740.574
-517604	21054.553
-474008	23312.24
-270063	25107.38
-288750	26186.541
-411891	26462.691
-520596	26045.836
-477593	25214.525
-274329	24366.887
-285745	24011.113
-401247	24578.371
-517056	26297.826
-476862	29093.898
-274541	32588.121
-285264	36251.99
-400254	39465.504
-516809	41664.23
-477606	42466.766
-275711	41802.4
-285559	40042.965
-400881	37886.094
-516738	36201.305
-476441	35798.63
-274728	37224.605
-285847	40676.21
-400362	45846.594
-516437	51943.08
-477218	57811.45
-275527	62201.758
-284941	64160.78
-399007	63246.93
-516255	59703.633
-476856	54464.832
-275196	49028.836
-284454	45247.49
-399472	44848.66
-516137	48978.434
-476858	57791.523
-274711	70240.04
-284014	84162.58
-397919	96461.2
-515717	103546.9
-477787	101909.52
-275890	88765.875
-283751	62702.94
-397674	23971.414
-515750	-25441.14
-478077	-82052.84
-275506	-141354.1
-282206	-198379.34
-397002	-248501.11
-515271	-288112.06
-476224	-315144.66
-275594	-329284.56
-283438	-331812.25
-402121	-325327.44
-516352	-313231.72
-480324	-299132.53
-277561	-286240.47
-282058	-276816.06
-396714	-271976.97
-515144	-271692.6
-481336	-275007.9
-278020	-280384.1
-282370	-286025.0
-396932	-290337.56
-514988	-292248.34
-482492	-291384.84
-278726	-288059.47
-281676	-283027.1
-395422	-277307.34
-514714	-271931.5
-483271	-267737.6
-279551	-265211.75
-280679	-264347.22
-395260	-264763.03
-514634	-265853.25
-483695	-266988.22
-279752	-267669.94
-281320	-267556.1
-395589	-266568.8
-514539	-264885.4
-484865	-262883.1
-280907	-261015.25
-280907	-259600.7
-394264	-258796.62
-514216	-258573.88
-484959	-258760.9
-281245	-259096.61
-280066	-259223.02
-394131	-258833.66
-514032	-257759.2
-484599	-256029.08
-280769	-253854.83
-280141	-251489.95
-394007	-249220.17
-513987	-247303.45
-485671	-245938.02
-282277	-245220.06
-280208	-245047.94
-393530	-245209.8
-513789	-245448.8
-484101	-245550.3
-283227	-245383.66
-281371	-244843.45
-398977	-243914.69
-514902	-242677.16
-484607	-241298.44
-281006	-239987.72
-279067	-238861.55
-395472	-237976.0
-513624	-237331.83
-485151	-236905.89
-281556	-236664.38
-277834	-236492.48
-390634	-236278.08
-512813	-235946.53
-482772	-235498.88
-279319	-235001.27
-277892	-234478.86
-390367	-233960.22
-512589	-233474.36
-482536	-233069.34
-278659	-232796.6
-276293	-232618.77
-389056	-232475.06
-512162	-232305.45
-485140	-232091.88
-281098	-231858.92
-276192	-231582.55
-389373	-231248.17
-512227	-230861.55
-484096	-230471.7
-279741	-230156.22
-275832	-229918.7
-388369	-229744.08
-511785	-229610.23
-484737	-229520.3
-280307	-229497.11
-274491	-229493.42
-385484	-229454.52
-510889	-229337.84
-477719	-229150.33
-274082	-228938.34
-272850	-228696.25
-385969	-228423.27
-510692	-228132.89
-480004	-227880.42
-275635	-227743.25
-273286	-227782.55
-385162	-227847.06
-510404	-227963.78
