EEG_CH1_RAW	EEG_CH1_BP_0p5_20
-412892	100.21343
-290176	222.94006
-389853	396.15924
-477277	612.1897
-514231	847.26514
-410565	1046.513
-282749	1167.3911
-391272	1237.8818
-486373	1273.4873
-514018	1291.348
-411989	1295.2241
-289564	1301.8124
-393519	1382.3917
-482463	1570.6298
-513904	1870.6508
-411682	2236.877
-289448	2611.005
-392625	2978.7852
-482120	3299.4875
-513778	3534.4763
-412039	3643.1277
-289728	3624.8083
-513183	3596.9373
-513372	3608.973
-418158	3717.3137
-292977	3964.923
-400002	4421.016
-480845	5079.36
-513926	5878.859
-429329	6697.0977
-285536	7393.5674
-386064	7907.8564
-480148	8196.569
-513857	8267.426
-429934	8173.8506
-286067	8021.783
-387101	8010.309
-480622	8299.848
-513924	8985.633
-430611	10055.678
-286643	11397.421
-388186	12880.264
-480786	14298.86
-513992	15440.858
-431404	16132.607
-287518	16303.832
-388682	16080.403
-480797	15681.781
-513945	15393.544
-431503	15488.725
-287444	16169.215
-388104	17569.438
-480501	19625.77
-513939	22094.756
-430001	24589.318
-281425	26680.793
-373299	28070.523
-459804	28593.354
-513354	28298.547
-434172	27435.031
-288444	26427.223
-387210	25843.805
-480273	26174.428
-513934	27714.246
-430784	30458.928
-286677	34092.402
-387521	38102.83
-480622	41808.29
-513956	44537.62
-431672	45795.89
-287407	45424.16
-389008	43737.773
-480941	41401.992
-513991	39316.234
-432176	38395.41
-287829	39349.19
-388804	42541.242
-480876	47767.67
-514029	54267.695
-432081	60846.402
-287447	66145.75
-387922	69037.81
-480780	68851.46
-513956	65623.78
-431511	60176.395
-287439	54031.984
-389087	49196.184
-480815	47633.31
-514032	50791.082
-431510	59141.72
-287059	71900.3
-387732	87023.97
-480613	101315.125
-513998	110884.516
-431645	111772.83
-287040	100674.38
-387683	75654.45
-480691	36516.125
-513945	-15010.0
-432057	-75429.84
-287355	-139934.34
-387961	-203029.16
-480704	-259440.12
-514054	-304878.75
-430946	-336661.8
-281959	-354025.9
-373918	-358059.97
-460309	-351482.34
-513406	-338058.5
-435518	-321928.53
-289517	-306884.34
-388882	-295725.78
-480887	-289999.88
-513984	-289899.75
-431517	-294446.78
-286626	-301846.0
-387270	-309898.22
-480621	-316579.5
-514037	-320421.8
-431167	-320756.72
-286602	-317741.06
-387782	-312151.6
-480659	-305214.9
-513969	-298272.28
-431487	-292486.72
-286832	-288603.8
-387876	-286779.06
-480697	-286697.97
-514029	-287697.1
-431744	-288975.62
-286807	-289790.34
-387868	-289559.7
-480808	-288059.2
-513977	-285419.75
-431757	-282069.2
-287031	-278589.84
-387806	-275499.2
-480696	-273211.2
-514031	-271934.53
-431675	-271655.22
-286689	-272150.84
-387129	-272997.16
-480445	-273760.8
-513992	-274080.03
-431524	-273746.9
-286680	-272721.0
-388291	-271048.9
-481372	-268915.5
-513951	-266568.97
-431359	-264269.2
-286798	-262222.5
-387778	-260486.84
-480528	-259065.02
-514088	-257911.62
-431270	-256976.25
-282171	-256219.7
-373319	-255564.72
-459909	-254995.81
-513434	-254531.77
-436245	-254232.22
-289985	-254151.1
-388846	-254247.67
-481088	-254471.12
-514121	-254749.22
-432257	-255013.05
-287194	-255199.55
-387549	-255200.84
-480786	-254972.44
-514129	-254523.23
-432027	-253923.92
-286887	-253273.97
-386781	-252613.88
-480369	-251999.34
-514041	-251475.25
-431918	-251080.48
-286901	-250832.34
-387821	-250663.89
-480887	-250527.05
-514122	-250388.92
-431911	-250248.28
-287158	-250119.05
-388266	-249957.56
-480745	-249750.78
-514091	-249496.95
-432186	-249214.67
-287431	-248927.73
-388087	-248598.86
-480914	-248226.53
-514200	-247835.86
-432690	-247487.78
-287546	-247255.6
-388162	-247142.78
-480911	-247162.27
-514148	-247309.4
-432302	-247565.1
-287400	-247879.94
-388843	-248112.84
-480951	-248143.2
-514116	-247878.9
-432047	-247291.0
-287071	-246411.11
-387321	-245317.77
-480492	-244019.38
-514120	-242735.02
-431274	-241664.11
-282013	-240988.55
-373082	-240768.4
-460240	-241041.38
-513519	-241794.67
-435726	-242910.06
-289389	-244219.83
-388512	-245476.9
-480944	-246507.64
-514155	-247226.6
-432345	-247582.98
-287425	-247603.33
-387938	-247312.11
-480815	-246830.28
-514107	-246328.2
-432197	-245926.44
-286931	-245710.64
-389129	-245651.89
-481041	-245730.39
-514124	-245943.67
-432651	-246189.8
-287530	-246420.52
-388412	-246562.36
-480923	-246627.89
-514140	-246611.19
-432488	-246552.48
-287350	-246504.5
-387821	-246466.58
-480830	-246483.78
-514151	-246528.86
-432470	-246574.86
-287161	-246595.14
-387361	-246525.56
-480770	-246386.8
-514197	-246179.25
-432335	-245952.36
-287071	-245783.1
-387710	-245706.08
-480771	-245803.39
-514152	-246072.03
-432009	-246482.05
-287040	-246964.83
-387554	-247370.27
-480517	-247602.23
-514001	-247530.1
-432281	-247087.53
-287264	-246282.8
-387276	-245151.88
-480426	-243864.28
-514132	-242586.06
-431492	-241517.58
-282287	-240845.56
-373720	-240654.9
-459432	-241016.56
