EEG_CH1_RAW	EEG_CH1_BP_0p5_20
26104	-6.335728
62717	-24.86422
61652	-50.41713
29281	-73.04196
9624	-88.28615
17124	-97.15888
43922	-103.9056
63956	-110.923134
26526	-108.81259
1328	-98.28814
7311	-87.09318
33721	-85.228065
51656	-98.08451
18948	-117.766365
1277	-142.61559
10247	-173.12296
37929	-209.85878
44920	-245.78503
12278	-266.90445
86	-270.27286
11034	-259.75894
50906	-248.07497
72811	-243.88882
28929	-242.95274
2587	-250.97679
14873	-278.0414
71880	-336.91852
76163	-417.80966
16371	-495.92505
29616	-567.7932
106854	-637.9242
125481	-693.4656
89586	-720.1738
21124	-708.1135
13031	-672.5764
59255	-641.89514
96123	-639.4206
73187	-672.56836
17513	-739.3751
13088	-843.116
62432	-984.174
106019	-1147.7694
80416	-1298.6354
19226	-1401.1802
14321	-1444.6975
67328	-1439.7745
115909	-1405.3055
93281	-1356.2515
25510	-1310.8186
15744	-1305.2422
69968	-1377.0137
118278	-1540.9154
91991	-1775.3297
31941	-2039.4307
25883	-2296.026
72423	-2512.3977
110319	-2657.2234
94451	-2705.4724
26913	-2649.1296
12879	-2523.371
62559	-2393.0383
106812	-2323.9968
88099	-2361.214
24258	-2523.8735
13836	-2817.1409
64206	-3221.0305
107123	-3678.703
84089	-4101.9194
18626	-4400.685
5803	-4523.9624
37431	-4464.879
68054	-4259.295
46253	-3974.494
5943	-3707.5168
5176	-3571.9326
41274	-3663.9219
73102	-4027.7012
45885	-4630.209
10059	-5377.2954
5729	-6133.3286
35821	-6748.066
72607	-7088.272
44584	-7061.271
5834	-6664.2686
1449	-6000.813
18919	-5261.884
61419	-4693.312
38653	-4519.9023
2348	-4906.422
3551	-5909.215
32113	-7432.781
62673	-9218.41
31578	-10859.105
4099	-11882.775
8868	-11836.63
59780	-10380.348
105341	-7353.538
72408	-2815.8416
15444	2920.8123
6989	9314.802
35161	15681.739
52170	21311.617
44968	25585.13
10886	28079.338
7133	28626.23
44118	27340.986
70242	24607.336
46984	21005.906
8228	17193.412
3948	13773.991
34408	11196.92
72320	9690.998
47559	9256.176
9154	9674.234
5073	10576.85
34734	11552.626
73809	12260.062
47432	12532.151
5806	12406.304
6073	12115.203
36018	12044.279
44380	12652.406
17734	14360.226
-11	17432.834
-27	21904.277
7748	27547.855
25687	33894.965
17771	40315.133
204	46115.26
8334	50654.43
39559	53460.2
46064	54320.605
